timestamp,event_type,detail
2026-03-21T18:44:23.026841,STARTUP,Application started
2026-03-21T18:51:51.577683,STARTUP,Application started
2026-03-21T18:51:51.686221,SHUTDOWN,Application closed
2026-03-21T18:52:08.420692,SHUTDOWN,Application closed
2026-03-21T18:52:21.833292,STARTUP,Application started
2026-03-21T18:55:09.731523,LOCK_CHANGE,UNLOCKED
2026-03-21T18:55:13.815823,ACTION_SENT,PLAY/PAUSE SENT
2026-03-21T18:55:17.462828,ACTION_SENT,PLAY/PAUSE SENT
2026-03-21T18:55:21.261477,ACTION_SENT,AUTO-PAUSE SENT
2026-03-21T18:55:25.417891,SHUTDOWN,Application closed
2026-03-21T19:02:35.092005,STARTUP,Application started
2026-03-21T19:02:47.083160,SHUTDOWN,Application closed
2026-03-21T19:08:42.671347,STARTUP,Application started
2026-03-21T19:09:04.683938,SHUTDOWN,Application closed
2026-03-21T19:18:30.028334,STARTUP,Application started
2026-03-21T19:18:35.619253,RECORD_TOGGLE,ON
2026-03-21T19:19:51.720296,SHUTDOWN,Application closed
2026-03-21T19:30:53.806606,STARTUP,Application started
2026-03-21T19:31:01.044607,LOCK_CHANGE,UNLOCKED
2026-03-21T19:31:04.222429,ACTION_SENT,AUTO-PAUSE SENT
2026-03-21T19:31:09.924466,ACTION_SENT,PLAY/PAUSE SENT
2026-03-21T19:31:13.803439,ACTION_SENT,AUTO-PAUSE SENT
2026-03-21T19:31:29.922064,ACTION_SENT,PLAY/PAUSE SENT
2026-03-21T19:31:31.423113,ACTION_SENT,PLAY/PAUSE SENT
2026-03-21T19:31:35.107767,ACTION_SENT,AUTO-PAUSE SENT
2026-03-21T19:32:16.619961,ACTION_SENT,PLAY/PAUSE SENT
2026-03-21T19:32:18.156043,ACTION_SENT,PLAY/PAUSE SENT
2026-03-21T19:32:19.683217,ACTION_SENT,PLAY/PAUSE SENT
2026-03-21T19:32:21.216356,ACTION_SENT,PLAY/PAUSE SENT
2026-03-21T19:32:22.716471,ACTION_SENT,PLAY/PAUSE SENT
2026-03-21T19:32:24.226628,ACTION_SENT,PLAY/PAUSE SENT
2026-03-21T19:32:25.756528,ACTION_SENT,PLAY/PAUSE SENT
2026-03-21T19:32:27.278973,ACTION_SENT,PLAY/PAUSE SENT
2026-03-21T19:32:28.799264,ACTION_SENT,PLAY/PAUSE SENT
2026-03-21T19:32:30.303769,ACTION_SENT,PLAY/PAUSE SENT
2026-03-21T19:32:31.808859,ACTION_SENT,PLAY/PAUSE SENT
2026-03-21T19:32:33.326777,ACTION_SENT,PLAY/PAUSE SENT
